"Tektronix MDO34, version v1.4.26, serial number C017180"
"Bus Definition: SPI"
 Time, MOSI, MISO
6.892616e-04, 03 75 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 30 47 38 E2 A9 BE E7 3A 1E BA 17 EB 5C F7 67 D7 1C 21 94 3A 79 9A 7C DE 10 42 28 83 86 07 1F 80 BB 76 07 C8 3C 29 0D 90 E6 AF 83 A8 49 44 70 AD E8 41 D0 D9 EE DB BA 68 F9 7D 7B 13 CE 17 2F EF  
7.111624e-04, 03 75 C3 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 60 D4 7F 0D 10 0D A0 19 CC 1B 21 84 FF 11 22 E0 08 80 21 F5 55 2F 53 87 59 1F 7A 6D A2 EB 81 27 F8 E8 A0 57 DA 61 9E F4 2F 3E 55 5F 95 9E 4E A7 69 9E 55 EA 01 60 D4 FF 84 10 62 01 00 40 73 2D  
7.330632e-04, 03 75 C3 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF D7 FF 47 12 D5 C1 CF 10 F4 43 7D EF 3A 9E 54 03 4C E5 56 81 5E 62 4A B8 BB 24 DC A3 CF 82 74 7A C2 E9 5D 4B F2 3F AF 6F F1 06 51 FF 06 C4 11 7A FA 1B 22 00 3B AA 77 80 05 45 3F 55 50 BF 62 12  
7.549640e-04, 03 75 C3 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 75 A7 6E 72 12 5B 07 27 A5 09 8A FC 49 2E 27 2E DA 74 96 FA 40 C5 50 FF DD 10 56 63 65 C3 D6 E8 7A 7B 75 EF 82 B8 83 4A 10 A9 64 0D DA 8F 2D 73 42 5A 09 6D 12 49 2C 14 45 E6 5F AC BF 88 B8 44  
7.768648e-04, 03 75 C4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF CA 07 52 D4 1F 21 84 10 F5 FF FF FF 39 18 FD E6 F0 C2 79 37 44 B2 5E 0D FE 1D D7 03 07 E2 51 83 A7 75 A0 3D E5 41 A3 4C 27 57 2B 42 7F D3 97 78 97 50 41 D5 FF FF 7F 01 77 77 77 77 83 9D 21 65  
7.987656e-04, 03 75 C4 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 45 22 AA 57 48 17 AB B5 9D 80 60 57 AF 07 52 EE C1 A6 3F 60 A1 FC 3D 29 94 5A 90 2B C0 E6 9C FB EA FA 4B BF DD DD DD 29 BB BB BB DD 83 DD BB BB BD 42 2D AC E3 65 CF EA F8 46 62 02 07 EA D2 C0  
8.206664e-04, 03 75 C4 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 5D F7 60 F4 45 24 0C 91 45 91 83 4F 7F 34 4B FD A6 94 1C 82 78 B2 E7 69 AA 9C 3C A0 17 E1 EF 40 4B 48 D8 0C 76 25 C8 BB 8D BB FD 64 36 0B FE 09 F0 8D 53 EF DA C4 E6 14 A9 E8 F7 C0 C9 AD 03 CD  
8.428840e-04, 03 75 C4 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF D3 C0 10 EF A7 7A 76 5B 9F F5 82 3F 67 96 D1 53 20 CB CE E2 B6 1F 69 3F B2 16 29 81 C1 48 3A 30 1D FC 5E 29 A3 4B DB A1 A5 01 7B DA 03 5B E9 E8 60 AE 58 8A F8 49 ED A9 7B 5F FF 1D A0 4A 46 8A  
8.651104e-04, 03 75 C5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF F3 24 DE 1E 78 1B 12 78 11 FD 9C AA 01 F2 07 7E 14 ED 68 30 4A E2 C4 94 6A 0D 20 22 9E CD CD 42 7C 3F C1 EF 09 FE 24 EA D1 1E 22 7A AF 9C E0 1A 42 8A CB 0C B5 B8 AE 5D 81 94 0A 3E 1A 5D A2 6E  
8.873368e-04, 03 75 C5 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF FF FF 1F F9 FF FF FF FF 0A FC FF FF 44 BD 26 A2 D8 03 E6 12 13 4F B0 B4 98 98 FD 5A CB 09 80 96 C1 25 84 AA 6E D2 04 38 83 84 25 EC C0 77 5C 72 EA 64 D8 FC A7 56 A2 71 55 9A 84 D2 1A A0 C6 86  
9.092376e-04, 03 75 C5 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF E0 75 9F 13 89 7D 2B 76 70 09 67 44 95 64 D4 06 AC 44 10 D4 6D 5B 25 10 90 0E 7C 25 10 CD 33 FD 64 07 50 8A 07 A4 7A 44 29 27 4A 2E 0B 7C 25 7C F6 B2 0D C0 9F A5 6F F7 91 1D A0 D0 44 D0 D6 91  
9.311384e-04, 03 75 C5 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF EB 59 23 D7 F1 5D 3E 40 00 80 05 7E 97 97 E8 2C C8 2E C0 C5 38 40 E9 EB A0 DD 22 99 29 D8 66 39 69 80 B4 83 08 7E E5 AA CE A2 34 44 D6 0F D1 D7 5E E5 BA 03 A8 F7 0F 9C 4E 26 9C A7 5D 1E A1 9F  
9.530392e-04, 03 75 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 26 20 2E 3F E0 5F 9A 03 04 A3 15 76 4D AF C7 67 A8 25 D0 5A EC 80 7D F1 A4 92 21 81 23 B4 84 0E 5E A1 BE 82 C6 FF 41 8B B3 81 3F 42 69 D3 FA 81 94 9E 09 25 39 F1 22 20 76 75 60 6B 22 94 37 48  
9.749400e-04, 03 75 C6 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 6B 02 7F DD 3B 0F 5E C2 17 93 12 23 3B 49 1C F8 5D 9F 56 6F 0E B0 44 0A 28 7D FD 72 44 50 EF 0E 02 65 1F FC 68 43 07 6A E6 49 B7 54 F0 5F C4 81 55 39 5D 37 11 D1 79 A2 4D 45 20 EB E4 00 63 11  
